,country,variable,value
150,Colombia,Homicide rate,23.1
151,Colombia,Household net adjusted disposable income,14338.5
152,Colombia,Household net wealth,238600.9
153,Colombia,Housing expenditure,17.86
154,Colombia,Labour market insecurity,7.31
155,Colombia,Life expectancy,76.7
156,Colombia,Life satisfaction,5.7
157,Colombia,Long-term unemployment rate,1.1
158,Colombia,Personal earnings,21060.9
159,Colombia,Quality of support network,80.0
160,Colombia,Rooms per person,1.0
161,Colombia,Self-reported health,80.0
162,Colombia,Stakeholder engagement for developing regulations,1.4
163,Colombia,Student skills,406.0
164,Colombia,Time devoted to leisure and personal care,14.428
165,Colombia,Voter turnout,53.0
166,Colombia,Water quality,82.0
167,Colombia,Years in education,14.0
168,Costa Rica,Air pollution,17.5
169,Costa Rica,Dwellings without basic facilities,2.3
170,Costa Rica,Educational attainment,43.0
171,Costa Rica,Employees working very long hours,22.0
172,Costa Rica,Employment rate,55.0
173,Costa Rica,Feeling safe walking alone at night,47.0
174,Costa Rica,Homicide rate,10.0
175,Costa Rica,Household net adjusted disposable income,16517.0
176,Costa Rica,Household net wealth,124517.1
177,Costa Rica,Housing expenditure,17.0
178,Costa Rica,Labour market insecurity,7.639999999999999
179,Costa Rica,Life expectancy,80.5
180,Costa Rica,Life satisfaction,6.3
181,Costa Rica,Long-term unemployment rate,1.5
182,Costa Rica,Personal earnings,27605.9
183,Costa Rica,Quality of support network,82.0
184,Costa Rica,Rooms per person,1.2
185,Costa Rica,Self-reported health,73.0
186,Costa Rica,Stakeholder engagement for developing regulations,1.8
187,Costa Rica,Student skills,415.0
188,Costa Rica,Time devoted to leisure and personal care,14.631
189,Costa Rica,Voter turnout,66.0
190,Costa Rica,Water quality,87.0
191,Costa Rica,Years in education,15.9
192,Czech Republic,Air pollution,17.0
193,Czech Republic,Dwellings without basic facilities,0.5
194,Czech Republic,Educational attainment,94.0
195,Czech Republic,Employees working very long hours,4.5
196,Czech Republic,Employment rate,74.0
197,Czech Republic,Feeling safe walking alone at night,77.0
198,Czech Republic,Homicide rate,0.7
199,Czech Republic,Household net adjusted disposable income,26664.0
200,Czech Republic,Household net wealth,122494.4
201,Czech Republic,Housing expenditure,23.4
202,Czech Republic,Labour market insecurity,2.3
203,Czech Republic,Life expectancy,79.3
204,Czech Republic,Life satisfaction,6.9
205,Czech Republic,Long-term unemployment rate,0.6
206,Czech Republic,Personal earnings,29885.0
207,Czech Republic,Quality of support network,96.0
208,Czech Republic,Rooms per person,1.5
209,Czech Republic,Self-reported health,62.0
210,Czech Republic,Stakeholder engagement for developing regulations,1.6
211,Czech Republic,Student skills,495.0
212,Czech Republic,Time devoted to leisure and personal care,14.99
213,Czech Republic,Voter turnout,62.0
214,Czech Republic,Water quality,89.0
215,Czech Republic,Years in education,18.0
216,Denmark,Air pollution,10.0
217,Denmark,Dwellings without basic facilities,0.5
218,Denmark,Educational attainment,82.0
219,Denmark,Employees working very long hours,1.1
220,Denmark,Employment rate,74.0
221,Denmark,Feeling safe walking alone at night,85.0
222,Denmark,Homicide rate,0.5
223,Denmark,Household net adjusted disposable income,33774.0
224,Denmark,Household net wealth,149864.0
225,Denmark,Housing expenditure,23.3
226,Denmark,Labour market insecurity,4.5
227,Denmark,Life expectancy,81.5
228,Denmark,Life satisfaction,7.5
229,Denmark,Long-term unemployment rate,0.9
230,Denmark,Personal earnings,58430.0
231,Denmark,Quality of support network,95.0
232,Denmark,Rooms per person,1.9
233,Denmark,Self-reported health,70.0
234,Denmark,Stakeholder engagement for developing regulations,2.0
235,Denmark,Student skills,501.0
236,Denmark,Time devoted to leisure and personal care,15.288
237,Denmark,Voter turnout,85.0
238,Denmark,Water quality,93.0
239,Denmark,Years in education,19.0
240,Estonia,Air pollution,5.9
241,Estonia,Dwellings without basic facilities,5.7
242,Estonia,Educational attainment,91.0
243,Estonia,Employees working very long hours,2.2
244,Estonia,Employment rate,74.0
245,Estonia,Feeling safe walking alone at night,79.0
246,Estonia,Homicide rate,1.9
247,Estonia,Household net adjusted disposable income,23784.0
248,Estonia,Household net wealth,188627.0
249,Estonia,Housing expenditure,17.0
250,Estonia,Labour market insecurity,5.4
251,Estonia,Life expectancy,78.8
252,Estonia,Life satisfaction,6.5
253,Estonia,Long-term unemployment rate,1.2
254,Estonia,Personal earnings,30720.0
255,Estonia,Quality of support network,95.0
256,Estonia,Rooms per person,1.7
257,Estonia,Self-reported health,57.0
258,Estonia,Stakeholder engagement for developing regulations,2.7
259,Estonia,Student skills,526.0
260,Estonia,Time devoted to leisure and personal care,14.98
261,Estonia,Voter turnout,64.0
262,Estonia,Water quality,86.0
263,Estonia,Years in education,18.0
264,Finland,Air pollution,5.5
265,Finland,Dwellings without basic facilities,0.4
266,Finland,Educational attainment,91.0
267,Finland,Employees working very long hours,3.6
268,Finland,Employment rate,72.0
269,Finland,Feeling safe walking alone at night,88.0
270,Finland,Homicide rate,1.2
271,Finland,Household net adjusted disposable income,33471.0
272,Finland,Household net wealth,230032.0
273,Finland,Housing expenditure,23.1
274,Finland,Labour market insecurity,2.2
275,Finland,Life expectancy,82.1
276,Finland,Life satisfaction,7.9
277,Finland,Long-term unemployment rate,1.2
278,Finland,Personal earnings,46230.0
279,Finland,Quality of support network,96.0
280,Finland,Rooms per person,1.9
281,Finland,Self-reported health,68.0
282,Finland,Stakeholder engagement for developing regulations,2.2
283,Finland,Student skills,516.0
284,Finland,Time devoted to leisure and personal care,15.17
285,Finland,Voter turnout,69.0
286,Finland,Water quality,97.0
287,Finland,Years in education,20.0
288,France,Air pollution,11.4
289,France,Dwellings without basic facilities,0.5
290,France,Educational attainment,81.0
291,France,Employees working very long hours,7.7
292,France,Employment rate,65.0
293,France,Feeling safe walking alone at night,74.0
294,France,Homicide rate,0.4
295,France,Household net adjusted disposable income,34375.0
296,France,Household net wealth,298639.0
297,France,Housing expenditure,20.7
298,France,Labour market insecurity,3.1
299,France,Life expectancy,82.9
300,France,Life satisfaction,6.7
301,France,Long-term unemployment rate,2.9
302,France,Personal earnings,45581.0
303,France,Quality of support network,94.0
304,France,Rooms per person,1.8
305,France,Self-reported health,67.0
306,France,Stakeholder engagement for developing regulations,2.1
307,France,Student skills,494.0
308,France,Time devoted to leisure and personal care,16.2
309,France,Voter turnout,75.0
310,France,Water quality,78.0
311,France,Years in education,17.0
312,Germany,Air pollution,12.0
313,Germany,Dwellings without basic facilities,0.1
314,Germany,Educational attainment,86.0
315,Germany,Employees working very long hours,3.9
316,Germany,Employment rate,77.0
317,Germany,Feeling safe walking alone at night,76.0
318,Germany,Homicide rate,0.4
319,Germany,Household net adjusted disposable income,38971.0
320,Germany,Household net wealth,304317.0
321,Germany,Housing expenditure,20.0
322,Germany,Labour market insecurity,1.4
323,Germany,Life expectancy,81.4
324,Germany,Life satisfaction,7.3
325,Germany,Long-term unemployment rate,1.2
326,Germany,Personal earnings,53745.0
327,Germany,Quality of support network,90.0
328,Germany,Rooms per person,1.8
329,Germany,Self-reported health,66.0
330,Germany,Stakeholder engagement for developing regulations,1.8
331,Germany,Student skills,500.0
332,Germany,Time devoted to leisure and personal care,15.62
333,Germany,Voter turnout,76.0
334,Germany,Water quality,91.0
335,Germany,Years in education,18.0
336,Greece,Air pollution,14.5
337,Greece,Dwellings without basic facilities,0.4
338,Greece,Educational attainment,76.0
339,Greece,Employees working very long hours,4.5
340,Greece,Employment rate,56.0
341,Greece,Feeling safe walking alone at night,69.0
342,Greece,Homicide rate,1.0
343,Greece,Household net adjusted disposable income,20791.0
344,Greece,Household net wealth,148323.0
345,Greece,Housing expenditure,21.8
346,Greece,Labour market insecurity,21.7
347,Greece,Life expectancy,81.7
348,Greece,Life satisfaction,5.8
349,Greece,Long-term unemployment rate,10.8
350,Greece,Personal earnings,27207.0
351,Greece,Quality of support network,78.0
352,Greece,Rooms per person,1.2
353,Greece,Self-reported health,79.0
354,Greece,Stakeholder engagement for developing regulations,1.8
355,Greece,Student skills,453.0
356,Greece,Time devoted to leisure and personal care,15.03
357,Greece,Voter turnout,58.0
358,Greece,Water quality,67.0
359,Greece,Years in education,19.0
360,Hungary,Air pollution,16.7
361,Hungary,Dwellings without basic facilities,3.5
362,Hungary,Educational attainment,86.0
363,Hungary,Employees working very long hours,1.5
364,Hungary,Employment rate,70.0
365,Hungary,Feeling safe walking alone at night,74.0
366,Hungary,Homicide rate,0.9
367,Hungary,Household net adjusted disposable income,21026.0
368,Hungary,Household net wealth,150296.0
369,Hungary,Housing expenditure,19.9
370,Hungary,Labour market insecurity,3.8
371,Hungary,Life expectancy,76.4
372,Hungary,Life satisfaction,6.0
373,Hungary,Long-term unemployment rate,1.2
374,Hungary,Personal earnings,25409.0
375,Hungary,Quality of support network,94.0
376,Hungary,Rooms per person,1.4
377,Hungary,Self-reported health,58.0
378,Hungary,Stakeholder engagement for developing regulations,1.2
379,Hungary,Student skills,479.0
380,Hungary,Time devoted to leisure and personal care,15.08
381,Hungary,Voter turnout,70.0
382,Hungary,Water quality,81.0
383,Hungary,Years in education,16.0
384,Iceland,Air pollution,6.4
385,Iceland,Dwellings without basic facilities,0.0
386,Iceland,Educational attainment,76.0
387,Iceland,Employees working very long hours,11.7
388,Iceland,Employment rate,78.0
389,Iceland,Feeling safe walking alone at night,85.0
390,Iceland,Homicide rate,0.3
391,Iceland,Household net adjusted disposable income,41096.1
392,Iceland,Household net wealth,399420.9
393,Iceland,Housing expenditure,20.89
394,Iceland,Labour market insecurity,1.0
395,Iceland,Life expectancy,83.2
396,Iceland,Life satisfaction,7.6
397,Iceland,Long-term unemployment rate,0.7
398,Iceland,Personal earnings,67488.0
399,Iceland,Quality of support network,98.0
400,Iceland,Rooms per person,1.6
401,Iceland,Self-reported health,77.0
402,Iceland,Stakeholder engagement for developing regulations,2.1
403,Iceland,Student skills,481.0
404,Iceland,Time devoted to leisure and personal care,15.019
405,Iceland,Voter turnout,81.0
406,Iceland,Water quality,97.0
407,Iceland,Years in education,19.0
408,Ireland,Air pollution,7.8
409,Ireland,Dwellings without basic facilities,0.2
410,Ireland,Educational attainment,85.0
411,Ireland,Employees working very long hours,4.7
412,Ireland,Employment rate,68.0
413,Ireland,Feeling safe walking alone at night,76.0
414,Ireland,Homicide rate,0.5
415,Ireland,Household net adjusted disposable income,29488.0
416,Ireland,Household net wealth,370341.0
417,Ireland,Housing expenditure,20.6
418,Ireland,Labour market insecurity,2.6
419,Ireland,Life expectancy,82.8
420,Ireland,Life satisfaction,7.0
421,Ireland,Long-term unemployment rate,1.2
422,Ireland,Personal earnings,49474.0
423,Ireland,Quality of support network,96.0
424,Ireland,Rooms per person,2.1
425,Ireland,Self-reported health,84.0
426,Ireland,Stakeholder engagement for developing regulations,1.3
427,Ireland,Student skills,505.0
428,Ireland,Time devoted to leisure and personal care,14.54
429,Ireland,Voter turnout,63.0
430,Ireland,Water quality,80.0
431,Ireland,Years in education,18.0
432,Israel,Air pollution,19.7
433,Israel,Dwellings without basic facilities,0.8400000000000001
434,Israel,Educational attainment,88.0
435,Israel,Employees working very long hours,14.1
436,Israel,Employment rate,67.0
437,Israel,Feeling safe walking alone at night,80.0
438,Israel,Homicide rate,1.5
439,Israel,Household net adjusted disposable income,25536.0
440,Israel,Household net wealth,178038.7
441,Israel,Housing expenditure,22.31
442,Israel,Labour market insecurity,4.6
443,Israel,Life expectancy,82.9
444,Israel,Life satisfaction,7.2
445,Israel,Long-term unemployment rate,0.2
446,Israel,Personal earnings,39322.0
447,Israel,Quality of support network,95.0
448,Israel,Rooms per person,1.2
449,Israel,Self-reported health,74.0
450,Israel,Stakeholder engagement for developing regulations,2.5
451,Israel,Student skills,465.0
452,Israel,Time devoted to leisure and personal care,14.813
453,Israel,Voter turnout,67.0
454,Israel,Water quality,77.0
455,Israel,Years in education,16.0
456,Italy,Air pollution,15.9
457,Italy,Dwellings without basic facilities,0.6
458,Italy,Educational attainment,63.0
459,Italy,Employees working very long hours,3.3
460,Italy,Employment rate,58.0
461,Italy,Feeling safe walking alone at night,73.0
462,Italy,Homicide rate,0.5
463,Italy,Household net adjusted disposable income,29431.0
464,Italy,Household net wealth,295020.0
465,Italy,Housing expenditure,22.5
466,Italy,Labour market insecurity,8.6
467,Italy,Life expectancy,83.6
468,Italy,Life satisfaction,6.5
469,Italy,Long-term unemployment rate,4.8
470,Italy,Personal earnings,37769.0
471,Italy,Quality of support network,89.0
472,Italy,Rooms per person,1.4
473,Italy,Self-reported health,73.0
474,Italy,Stakeholder engagement for developing regulations,2.5
475,Italy,Student skills,477.0
476,Italy,Time devoted to leisure and personal care,16.47
477,Italy,Voter turnout,73.0
478,Italy,Water quality,77.0
479,Italy,Years in education,17.0
480,Japan,Air pollution,13.7
481,Japan,Dwellings without basic facilities,6.4
482,Japan,Educational attainment,84.4
483,Japan,Employees working very long hours,4.7
484,Japan,Employment rate,77.0
485,Japan,Feeling safe walking alone at night,77.0
486,Japan,Homicide rate,0.2
487,Japan,Household net adjusted disposable income,28872.0
488,Japan,Household net wealth,294735.0
489,Japan,Housing expenditure,21.8
490,Japan,Labour market insecurity,2.7
491,Japan,Life expectancy,84.4
492,Japan,Life satisfaction,6.1
493,Japan,Long-term unemployment rate,0.8
494,Japan,Personal earnings,38515.0
495,Japan,Quality of support network,89.0
496,Japan,Rooms per person,1.9
497,Japan,Self-reported health,37.0
498,Japan,Stakeholder engagement for developing regulations,1.4
499,Japan,Student skills,520.0
500,Japan,Time devoted to leisure and personal care,14.1
501,Japan,Voter turnout,53.0
502,Japan,Water quality,87.0
503,Japan,Years in education,16.0
504,Korea,Air pollution,27.3
505,Korea,Dwellings without basic facilities,2.5
506,Korea,Educational attainment,89.0
507,Korea,Employees working very long hours,8.889999999999999
508,Korea,Employment rate,66.0
509,Korea,Feeling safe walking alone at night,82.0
510,Korea,Homicide rate,0.8
511,Korea,Household net adjusted disposable income,24590.0
512,Korea,Household net wealth,362340.0
513,Korea,Housing expenditure,14.7
514,Korea,Labour market insecurity,2.9
515,Korea,Life expectancy,83.3
516,Korea,Life satisfaction,5.8
517,Korea,Long-term unemployment rate,0.0
518,Korea,Personal earnings,41960.0
519,Korea,Quality of support network,80.0
520,Korea,Rooms per person,1.5
521,Korea,Self-reported health,34.0
522,Korea,Stakeholder engagement for developing regulations,2.9
523,Korea,Student skills,520.0
524,Korea,Time devoted to leisure and personal care,14.83
525,Korea,Voter turnout,77.0
526,Korea,Water quality,82.0
527,Korea,Years in education,17.0
528,Latvia,Air pollution,12.7
529,Latvia,Dwellings without basic facilities,11.2
530,Latvia,Educational attainment,89.0
531,Latvia,Employees working very long hours,1.6
532,Latvia,Employment rate,72.0
533,Latvia,Feeling safe walking alone at night,72.0
534,Latvia,Homicide rate,3.7
535,Latvia,Household net adjusted disposable income,19783.0
536,Latvia,Household net wealth,79245.0
537,Latvia,Housing expenditure,20.8
538,Latvia,Labour market insecurity,6.3
539,Latvia,Life expectancy,75.5
540,Latvia,Life satisfaction,6.2
541,Latvia,Long-term unemployment rate,2.2
542,Latvia,Personal earnings,29876.0
543,Latvia,Quality of support network,92.0
544,Latvia,Rooms per person,1.2
545,Latvia,Self-reported health,47.0
546,Latvia,Stakeholder engagement for developing regulations,2.2
547,Latvia,Student skills,487.0
548,Latvia,Time devoted to leisure and personal care,15.079
549,Latvia,Voter turnout,55.0
550,Latvia,Water quality,83.0
551,Latvia,Years in education,18.0
552,Lithuania,Air pollution,10.5
553,Lithuania,Dwellings without basic facilities,11.8
554,Lithuania,Educational attainment,94.0
555,Lithuania,Employees working very long hours,1.0
556,Lithuania,Employment rate,72.0
557,Lithuania,Feeling safe walking alone at night,62.0
558,Lithuania,Homicide rate,2.5
559,Lithuania,Household net adjusted disposable income,26976.0
560,Lithuania,Household net wealth,182039.0
561,Lithuania,Housing expenditure,18.4
562,Lithuania,Labour market insecurity,6.989999999999999
563,Lithuania,Life expectancy,76.4
564,Lithuania,Life satisfaction,6.4
565,Lithuania,Long-term unemployment rate,2.5
566,Lithuania,Personal earnings,31811.0
567,Lithuania,Quality of support network,89.0
568,Lithuania,Rooms per person,1.5
569,Lithuania,Self-reported health,46.0
570,Lithuania,Stakeholder engagement for developing regulations,2.4
571,Lithuania,Student skills,480.0
572,Lithuania,Time devoted to leisure and personal care,15.153
573,Lithuania,Voter turnout,57.0
574,Lithuania,Water quality,83.0
575,Lithuania,Years in education,18.0
576,Luxembourg,Air pollution,10.0
577,Luxembourg,Dwellings without basic facilities,0.1
578,Luxembourg,Educational attainment,74.0
579,Luxembourg,Employees working very long hours,2.8
580,Luxembourg,Employment rate,67.0
581,Luxembourg,Feeling safe walking alone at night,87.0
582,Luxembourg,Homicide rate,0.2
583,Luxembourg,Household net adjusted disposable income,44773.0
584,Luxembourg,Household net wealth,941162.0
585,Luxembourg,Housing expenditure,20.7
586,Luxembourg,Labour market insecurity,2.2
587,Luxembourg,Life expectancy,82.7
588,Luxembourg,Life satisfaction,7.4
589,Luxembourg,Long-term unemployment rate,1.7
590,Luxembourg,Personal earnings,65854.0
591,Luxembourg,Quality of support network,91.0
592,Luxembourg,Rooms per person,2.0
593,Luxembourg,Self-reported health,72.0
594,Luxembourg,Stakeholder engagement for developing regulations,1.7
595,Luxembourg,Student skills,477.0
596,Luxembourg,Time devoted to leisure and personal care,15.628
597,Luxembourg,Voter turnout,90.0
598,Luxembourg,Water quality,85.0
599,Luxembourg,Years in education,15.0
600,Mexico,Air pollution,20.3
601,Mexico,Dwellings without basic facilities,25.9
602,Mexico,Educational attainment,42.0
603,Mexico,Employees working very long hours,27.0
604,Mexico,Employment rate,59.0
605,Mexico,Feeling safe walking alone at night,42.0
606,Mexico,Homicide rate,26.8
607,Mexico,Household net adjusted disposable income,16269.0
608,Mexico,Household net wealth,199400.4
609,Mexico,Housing expenditure,17.8
610,Mexico,Labour market insecurity,4.0
611,Mexico,Life expectancy,75.1
612,Mexico,Life satisfaction,6.0
613,Mexico,Long-term unemployment rate,0.1
614,Mexico,Personal earnings,16230.0
615,Mexico,Quality of support network,77.0
616,Mexico,Rooms per person,1.1
617,Mexico,Self-reported health,66.0
618,Mexico,Stakeholder engagement for developing regulations,3.2
619,Mexico,Student skills,416.0
620,Mexico,Time devoted to leisure and personal care,14.518
621,Mexico,Voter turnout,63.0
622,Mexico,Water quality,75.0
623,Mexico,Years in education,15.0
624,Netherlands,Air pollution,12.2
625,Netherlands,Dwellings without basic facilities,0.1
626,Netherlands,Educational attainment,81.0
627,Netherlands,Employees working very long hours,0.3
628,Netherlands,Employment rate,78.0
629,Netherlands,Feeling safe walking alone at night,83.0
630,Netherlands,Homicide rate,0.6
631,Netherlands,Household net adjusted disposable income,34984.0
632,Netherlands,Household net wealth,248599.0
633,Netherlands,Housing expenditure,19.6
634,Netherlands,Labour market insecurity,2.5
635,Netherlands,Life expectancy,82.2
636,Netherlands,Life satisfaction,7.5
637,Netherlands,Long-term unemployment rate,0.9
638,Netherlands,Personal earnings,58828.0
639,Netherlands,Quality of support network,94.0
640,Netherlands,Rooms per person,2.0
641,Netherlands,Self-reported health,75.0
642,Netherlands,Stakeholder engagement for developing regulations,2.6
643,Netherlands,Student skills,502.0
644,Netherlands,Time devoted to leisure and personal care,15.45
645,Netherlands,Voter turnout,79.0
646,Netherlands,Water quality,91.0
647,Netherlands,Years in education,19.0
648,New Zealand,Air pollution,6.0
649,New Zealand,Dwellings without basic facilities,0.28
650,New Zealand,Educational attainment,81.0
651,New Zealand,Employees working very long hours,14.0
652,New Zealand,Employment rate,77.0
653,New Zealand,Feeling safe walking alone at night,66.0
654,New Zealand,Homicide rate,1.3
655,New Zealand,Household net adjusted disposable income,39024.0
656,New Zealand,Household net wealth,514162.0
657,New Zealand,Housing expenditure,25.0
658,New Zealand,Labour market insecurity,4.5
659,New Zealand,Life expectancy,82.1
660,New Zealand,Life satisfaction,7.3
661,New Zealand,Long-term unemployment rate,0.4
662,New Zealand,Personal earnings,45269.0
663,New Zealand,Quality of support network,95.0
664,New Zealand,Rooms per person,2.4
665,New Zealand,Self-reported health,86.0
666,New Zealand,Stakeholder engagement for developing regulations,2.5
667,New Zealand,Student skills,503.0
668,New Zealand,Time devoted to leisure and personal care,14.87
669,New Zealand,Voter turnout,82.0
670,New Zealand,Water quality,85.0
671,New Zealand,Years in education,18.0
672,Norway,Air pollution,6.7
673,Norway,Dwellings without basic facilities,0.0
674,Norway,Educational attainment,82.0
675,Norway,Employees working very long hours,1.4
676,Norway,Employment rate,75.0
677,Norway,Feeling safe walking alone at night,93.0
678,Norway,Homicide rate,0.6
679,Norway,Household net adjusted disposable income,39144.0
680,Norway,Household net wealth,268358.0
681,Norway,Housing expenditure,17.7
682,Norway,Labour market insecurity,2.8
683,Norway,Life expectancy,83.0
684,Norway,Life satisfaction,7.3
685,Norway,Long-term unemployment rate,0.9
686,Norway,Personal earnings,55780.0
687,Norway,Quality of support network,96.0
688,Norway,Rooms per person,2.1
689,Norway,Self-reported health,75.0
690,Norway,Stakeholder engagement for developing regulations,2.2
691,Norway,Student skills,497.0
692,Norway,Time devoted to leisure and personal care,15.67
693,Norway,Voter turnout,78.0
694,Norway,Water quality,98.0
695,Norway,Years in education,18.0
696,Poland,Air pollution,22.8
697,Poland,Dwellings without basic facilities,2.3
698,Poland,Educational attainment,93.0
699,Poland,Employees working very long hours,4.2
700,Poland,Employment rate,69.0
701,Poland,Feeling safe walking alone at night,71.0
702,Poland,Homicide rate,0.5
703,Poland,Household net adjusted disposable income,23675.0
704,Poland,Household net wealth,233221.0
705,Poland,Housing expenditure,21.2
706,Poland,Labour market insecurity,5.0
707,Poland,Life expectancy,78.0
708,Poland,Life satisfaction,6.1
709,Poland,Long-term unemployment rate,0.6
710,Poland,Personal earnings,32527.0
711,Poland,Quality of support network,94.0
712,Poland,Rooms per person,1.1
713,Poland,Self-reported health,60.0
714,Poland,Stakeholder engagement for developing regulations,2.6
715,Poland,Student skills,513.0
716,Poland,Time devoted to leisure and personal care,14.68
717,Poland,Voter turnout,68.0
718,Poland,Water quality,82.0
719,Poland,Years in education,18.0
720,Portugal,Air pollution,8.3
721,Portugal,Dwellings without basic facilities,0.9
722,Portugal,Educational attainment,55.0
